Date,Price,Inflation_Rate,Interest_Rate,Oil_Price,USD_Index,Year,Month,Day,Weekday,Quarter,Price_MA7,Price_MA30,Price_Lag1,Price_Lag7
2019-01-01,52.48357076505616,3.3746431648341537,7.973413402944127,42.82186475949254,89.697114756201,2019,1,1,1,1,,,,
2019-01-02,49.39082526303783,1.0405247361109735,5.496286696068089,40.61475343623647,91.35705269703342,2019,1,2,2,1,,,52.48357076505616,
2019-01-03,53.402736228290976,3.544384185638169,6.87484292626503,41.98139667733154,89.82860157859037,2019,1,3,3,1,,,49.39082526303783,
2019-01-04,57.8615895887214,4.653147790304947,3.961646146020052,38.51681253928338,91.5044437901274,2019,1,4,4,1,,,53.402736228290976,
2019-01-05,49.15782020195835,3.4502938733792767,3.834463744683746,40.199451022686304,90.02195486263454,2019,1,5,5,1,,,57.8615895887214,
2019-01-06,49.240049059722885,4.49479437386538,4.416222325967361,37.43424994693424,90.76199588640011,2019,1,6,6,1,,,49.15782020195835,
2019-01-07,58.3889446908995,3.8958922218643752,6.035043576041895,41.60014180919445,91.54082977942484,2019,1,7,0,1,52.846505113955295,,49.240049059722885,
2019-01-08,54.41220102802084,1.482233665614761,6.093150135530593,41.26775331378276,89.88324268905296,2019,1,8,1,1,53.12202372295026,,58.3889446908995,52.48357076505616
2019-01-09,48.309802221475294,4.609813229143366,3.891436607896705,41.25447970251516,90.30601220769752,2019,1,9,2,1,52.96759185986989,,54.41220102802084,49.39082526303783
2019-01-10,53.452121137973634,1.2657753774230995,2.799259544819772,40.29896643073141,91.3874395478788,2019,1,10,3,1,52.97464684696742,,48.309802221475294,53.402736228290976
2019-01-11,48.50437922487526,3.135869890191055,5.794377538793052,41.15813285715261,89.9765258612616,2019,1,11,4,1,51.6379025092751,,53.452121137973634,57.8615895887214
2019-01-12,48.57496568998004,1.5685484951738309,2.769955173132587,43.570123999749725,88.79958964520468,2019,1,12,5,1,51.55463757899249,,48.50437922487526,49.15782020195835
2019-01-13,52.19557258455525,1.0468264429236165,5.470955049375981,39.824115976606,92.27444188481492,2019,1,13,6,1,51.97685522539712,,48.57496568998004,49.240049059722885
2019-01-14,41.50150677232985,2.688137040510556,6.160532768337854,40.704453565667706,89.67262326841205,2019,1,14,0,1,49.56436409417288,,52.19557258455525,58.3889446908995
2019-01-15,42.52546560194743,2.180162830616625,6.20366897836671,38.28776930744222,90.31209668620588,2019,1,15,1,1,47.86625903330525,,41.50150677232985,54.41220102802084
2019-01-16,48.42076388720149,2.944001975190412,6.520832663957581,38.75635869016588,91.32030020723865,2019,1,16,2,1,47.88211069983756,,42.52546560194743,48.309802221475294
2019-01-17,46.25019270062799,3.308799546938203,7.237156529393987,40.72136590710666,89.56675253657548,2019,1,17,3,1,46.85326378021676,,48.42076388720149,53.452121137973634
2019-01-18,52.96773173417024,1.1749562892357894,4.999753951788731,42.76646512188136,89.17833142960372,2019,1,18,4,1,47.49088556725889,,46.25019270062799,48.50437922487526
2019-01-19,46.938521462481575,1.4920131804949823,6.381495137177427,40.07889508753191,90.45088954211984,2019,1,19,5,1,47.2571078204734,,52.96773173417024,48.57496568998004
2019-01-20,44.499270102304926,3.2345695858017014,5.715036412195021,40.1524823849683,88.4150287499518,2019,1,20,6,1,46.15763603729478,,46.938521462481575,52.19557258455525
2019-01-21,58.9711792224829,2.372669412690633,3.1198396387860954,39.843403662141306,89.93115197351543,2019,1,21,0,1,48.653303530173794,,44.499270102304926,41.50150677232985
2019-01-22,50.59620064433621,3.916693950197792,2.154137869216449,39.62051951701891,90.47504961721792,2019,1,22,1,1,49.80626567908648,,58.9711792224829,42.52546560194743
2019-01-23,52.14486993910226,3.609166594367759,3.7072483140616015,41.31283447768271,89.97101195859652,2019,1,23,2,1,50.33828082935802,,50.59620064433621,48.42076388720149
2019-01-24,44.76563475348912,4.382417451959627,4.658202238025717,37.76123498346527,88.7084658147551,2019,1,24,3,1,50.12620112262389,,52.14486993910226,46.25019270062799
2019-01-25,49.24960883082425,3.769971306676901,5.702635666571938,43.35048813471352,91.85704761666403,2019,1,25,4,1,49.59504070786018,,44.76563475348912,52.96773173417024
2019-01-26,52.60828217089325,2.7197243095605925,7.099755983019232,39.490623092678646,90.37736071692837,2019,1,26,5,1,50.40500652334756,,49.24960883082425,46.938521462481575
2019-01-27,46.380848104126166,3.6918664895777296,3.1774743002369936,42.29813336737135,91.7159275832601,2019,1,27,6,1,50.67380338075059,,52.60828217089325,44.499270102304926
2019-01-28,54.096452851859794,2.101524697021674,2.7532987393908623,38.347187909264825,90.03569211783707,2019,1,28,0,1,49.97741389923301,,46.380848104126166,58.9711792224829
2019-01-29,49.29691607943117,2.2252539951128507,7.780879684845965,42.25772407270252,89.42666928884591,2019,1,29,1,1,49.791801818532285,,54.096452851859794,50.59620064433621
2019-01-30,50.92378754895257,4.155940639683173,2.648267356258443,42.29679173479658,90.58681509331105,2019,1,30,2,1,49.61736147708233,50.25039366970429,49.29691607943117,52.14486993910226
2019-01-31,49.45587000566572,2.7856780656063287,4.870946420643135,41.75416537073687,90.1127999492468,2019,1,31,3,1,50.28739508453613,50.14947031105794,50.92378754895257,44.76563475348912
2019-02-01,61.80794075825115,4.19352136207341,5.513382372759812,39.029762890683,89.16177852010284,2019,2,1,4,1,52.08144250273997,50.563374160898384,49.45587000566572,49.24960883082425
2019-02-02,52.56121048091055,4.289689494673114,5.24824652544463,41.55057502103624,91.82027713940086,2019,2,2,5,1,52.07471797559959,50.53532330265237,61.80794075825115,52.60828217089325
2019-02-03,47.42228872871447,4.430249350645135,2.516192942197659,38.71822497992881,89.73917556023852,2019,2,3,6,1,52.22349520768363,50.1873466073188,52.56121048091055,46.380848104126166
2019-02-04,56.90571470290367,4.666540943364829,2.342161484021716,40.61166954676273,88.53213230085613,2019,2,4,0,1,52.62481832926132,50.44560975735031,47.42228872871447,54.096452851859794
2019-02-05,46.77091866142638,2.723940882053185,2.632900564766214,43.20888096642325,91.7115176421282,2019,2,5,1,1,52.26396155526065,50.36330541074042,56.90571470290367,49.29691607943117
2019-02-06,54.00160165519903,2.275467273284556,5.513526103235675,42.77631732621158,89.89000647487741,2019,2,6,2,1,52.70364928472442,50.21706064288375,46.77091866142638,50.92378754895257
2019-02-07,43.24107982967013,3.3287949863764554,5.266069325805926,41.24613806470847,89.79743350059357,2019,2,7,3,1,51.81582211672505,49.84468993627206,54.00160165519903,49.45587000566572
2019-02-08,46.480646973470606,2.4846896937505103,3.402444752220465,39.29901773533942,88.65082270869839,2019,2,8,4,1,49.626208718899264,49.783718094671904,43.24107982967013,61.80794075825115
2019-02-09,54.18803016620213,3.404296667200932,5.826644851073549,42.572665019091,92.16810468484454,2019,2,9,5,1,49.858611531083774,49.80824839561286,46.480646973470606,52.56121048091055
2019-02-10,56.97820365572733,3.8223434505752985,6.920405012333896,41.35311077769616,89.14863551355702,2019,2,10,6,1,51.223742234942755,50.090709209974584,54.18803016620213,47.42228872871447
2019-02-11,54.22485893059388,3.753620073968548,2.249473759079563,36.70657581339677,90.50751848399152,2019,2,11,0,1,50.8407628388985,50.27903898466172,56.97820365572733,56.90571470290367
2019-02-12,52.87192288159659,2.4982115480804854,4.988779661288255,42.94532537004815,91.37264222834548,2019,2,12,1,1,51.71233487035139,50.301583994563096,54.22485893059388,46.77091866142638
2019-02-13,52.0267925844851,1.6674408067950113,6.135862472616141,41.36445875723323,90.8926917413273,2019,2,13,2,1,51.43021928882082,50.652426854968276,52.87192288159659,54.00160165519903
2019-02-14,46.221847879488166,2.72211735384883,3.5138715624181227,43.850685628496265,90.4222733988512,2019,2,14,3,1,51.85604329593769,50.77563959755296,52.0267925844851,43.24107982967013
2019-02-15,50.09738355824552,1.570376576327635,3.846625431758895,39.28810080240201,88.79121475507513,2019,2,15,4,1,52.372719950905534,50.83152691992109,46.221847879488166,46.480646973470606
2019-02-16,51.47555751431388,4.560388140735233,5.681827417936303,35.15809292125313,89.69410868011443,2019,2,16,5,1,51.985223857778635,51.00570574704396,50.09738355824552,54.18803016620213
2019-02-17,59.146509269101145,2.3835098429514296,7.387611760662422,42.102526971893,90.7025867564434,2019,2,17,6,1,52.294981802546324,51.21166499820832,51.47555751431388,56.97820365572733
2019-02-18,55.66113635474263,1.6178389888932951,6.859546521817396,42.16034531612408,89.73856525093304,2019,2,18,0,1,52.500164291710426,51.50241882795035,59.146509269101145,54.22485893059388
2019-02-19,45.209990898980415,1.1017910396230035,5.498781314597501,38.22873341510473,90.74005168343798,2019,2,19,1,1,51.40560257990813,51.52610952117288,55.66113635474263,52.87192288159659
2019-02-20,55.72775829166181,3.583289545145937,6.381330306543495,39.68593628614192,91.22938853477352,2019,2,20,2,1,51.934311966647655,51.4179954901455,45.209990898980415,52.0267925844851
2019-02-21,52.26407381150001,3.547609269818973,4.188934821246792,47.18622957287245,91.52110091427764,2019,2,21,3,1,52.7974870997922,51.473591262384296,55.72775829166181,46.221847879488166
2019-02-22,50.88702198094556,2.3624166663251667,5.845793168592547,41.09743156468254,89.34337157318403,2019,2,22,4,1,52.91029258874935,51.43166299711241,52.26407381150001,50.09738355824552
2019-02-23,57.41216019557345,1.286847555390604,4.797089546765342,43.20342945330008,92.77714988849483,2019,2,23,5,1,53.75837868607215,51.853213845181884,50.88702198094556,51.47555751431388
